task_id,deepseek-v3,gpt-4o,llama-3-3,mistral-3-2,qwen3-coder,sonnet-4,category,num_failed
3737,passed,failed,failed,failed,failed,passed,mixed_failed,4
3739,failed,failed,passed,failed,failed,passed,mixed_failed,4
3743,failed,failed,passed,failed,passed,failed,mixed_failed,4
3744,passed,failed,failed,failed,failed,passed,mixed_failed,4
3751,passed,passed,failed,failed,failed,failed,mixed_failed,4
3762,passed,failed,failed,failed,failed,passed,mixed_failed,4
3779,failed,failed,passed,failed,failed,passed,mixed_failed,4
3789,failed,failed,failed,failed,passed,passed,mixed_failed,4
abc391_e,passed,failed,failed,failed,failed,passed,mixed_failed,4
abc397_e,passed,failed,failed,failed,passed,failed,mixed_failed,4
abc397_f,failed,failed,failed,failed,passed,passed,mixed_failed,4
abc397_g,passed,failed,failed,failed,passed,failed,mixed_failed,4
abc400_e,failed,failed,passed,failed,passed,failed,mixed_failed,4
abc400_g,failed,failed,failed,failed,passed,passed,mixed_failed,4
arc190_c,failed,passed,failed,failed,failed,passed,mixed_failed,4
3714,failed,passed,passed,failed,failed,passed,mixed_failed,3
3717,passed,failed,failed,failed,passed,passed,mixed_failed,3
3748,passed,passed,failed,failed,passed,failed,mixed_failed,3
3786,passed,failed,failed,failed,passed,passed,mixed_failed,3
3795,failed,failed,passed,failed,passed,passed,mixed_failed,3
3832,failed,passed,passed,failed,failed,passed,mixed_failed,3
abc389_f,failed,passed,failed,passed,failed,passed,mixed_failed,3
abc392_c,passed,failed,passed,failed,failed,passed,mixed_failed,3
abc393_e,passed,failed,failed,failed,passed,passed,mixed_failed,3
abc394_g,passed,passed,failed,failed,failed,passed,mixed_failed,3
abc395_e,passed,failed,failed,failed,passed,passed,mixed_failed,3
abc396_c,failed,failed,passed,failed,passed,passed,mixed_failed,3
arc191_d,failed,failed,passed,failed,passed,passed,mixed_failed,3
arc195_b,passed,passed,failed,failed,failed,passed,mixed_failed,3
3721,passed,passed,failed,failed,passed,passed,mixed_failed,2
3725,passed,failed,passed,failed,passed,passed,mixed_failed,2
3759,passed,passed,failed,passed,failed,passed,mixed_failed,2
3770,passed,passed,failed,failed,passed,passed,mixed_failed,2
3771,failed,passed,failed,passed,passed,passed,mixed_failed,2
3773,passed,failed,failed,passed,passed,passed,mixed_failed,2
3776,failed,passed,passed,failed,passed,passed,mixed_failed,2
3783,passed,passed,passed,passed,failed,failed,mixed_failed,2
3791,passed,failed,passed,failed,passed,passed,mixed_failed,2
3793,passed,passed,failed,failed,passed,passed,mixed_failed,2
3799,passed,passed,failed,failed,passed,passed,mixed_failed,2
3811,passed,passed,failed,failed,passed,passed,mixed_failed,2
abc388_c,failed,failed,passed,passed,passed,passed,mixed_failed,2
abc388_d,failed,failed,passed,passed,passed,passed,mixed_failed,2
abc388_f,passed,passed,passed,failed,passed,failed,mixed_failed,2
abc389_d,failed,passed,passed,failed,passed,passed,mixed_failed,2
abc390_e,failed,failed,passed,passed,passed,passed,mixed_failed,2
abc391_f,passed,passed,failed,failed,passed,passed,mixed_failed,2
abc393_f,passed,passed,failed,failed,passed,passed,mixed_failed,2
abc395_b,passed,failed,failed,passed,passed,passed,mixed_failed,2
abc396_d,passed,failed,failed,passed,passed,passed,mixed_failed,2
abc396_e,passed,passed,failed,failed,passed,passed,mixed_failed,2
abc397_b,failed,passed,passed,failed,passed,passed,mixed_failed,2
arc193_a,passed,passed,failed,failed,passed,passed,mixed_failed,2
arc194_e,passed,passed,passed,failed,failed,passed,mixed_failed,2
3696,passed,passed,failed,passed,passed,passed,mixed_failed,1
3750,passed,passed,passed,passed,failed,passed,mixed_failed,1
3764,passed,passed,passed,failed,passed,passed,mixed_failed,1
3785,passed,passed,passed,failed,passed,passed,mixed_failed,1
3809,passed,passed,failed,passed,passed,passed,mixed_failed,1
abc388_e,passed,passed,passed,failed,passed,passed,mixed_failed,1
abc392_b,passed,passed,failed,passed,passed,passed,mixed_failed,1
abc392_f,passed,passed,failed,passed,passed,passed,mixed_failed,1
abc392_g,passed,passed,passed,failed,passed,passed,mixed_failed,1
abc395_c,passed,passed,failed,passed,passed,passed,mixed_failed,1
abc396_b,passed,passed,passed,failed,passed,passed,mixed_failed,1
abc396_f,passed,failed,passed,passed,passed,passed,mixed_failed,1
abc396_g,passed,passed,passed,failed,passed,passed,mixed_failed,1
abc398_a,passed,passed,passed,failed,passed,passed,mixed_failed,1
abc398_d,passed,passed,passed,passed,failed,passed,mixed_failed,1
abc399_b,passed,passed,failed,passed,passed,passed,mixed_failed,1
abc399_c,passed,passed,failed,passed,passed,passed,mixed_failed,1
abc399_f,passed,passed,failed,passed,passed,passed,mixed_failed,1
abc400_b,passed,passed,failed,passed,passed,passed,mixed_failed,1
3704,passed,passed,passed,passed,passed,passed,all_passed,0
3705,passed,passed,passed,passed,passed,passed,all_passed,0
3709,passed,passed,passed,passed,passed,passed,all_passed,0
3723,passed,passed,passed,passed,passed,passed,all_passed,0
3731,passed,passed,passed,passed,passed,passed,all_passed,0
3747,passed,passed,passed,passed,passed,passed,all_passed,0
3753,passed,passed,passed,passed,passed,passed,all_passed,0
3760,passed,passed,passed,passed,passed,passed,all_passed,0
3768,passed,passed,passed,passed,passed,passed,all_passed,0
3777,passed,passed,passed,passed,passed,passed,all_passed,0
3778,passed,passed,passed,passed,passed,passed,all_passed,0
3781,passed,passed,passed,passed,passed,passed,all_passed,0
3784,passed,passed,passed,passed,passed,passed,all_passed,0
3788,passed,passed,passed,passed,passed,passed,all_passed,0
3801,passed,passed,passed,passed,passed,passed,all_passed,0
3817,passed,passed,passed,passed,passed,passed,all_passed,0
abc387_a,passed,passed,passed,passed,passed,passed,all_passed,0
abc387_b,passed,passed,passed,passed,passed,passed,all_passed,0
abc388_a,passed,passed,passed,passed,passed,passed,all_passed,0
abc388_b,passed,passed,passed,passed,passed,passed,all_passed,0
abc389_a,passed,passed,passed,passed,passed,passed,all_passed,0
abc389_b,passed,passed,passed,passed,passed,passed,all_passed,0
abc390_a,passed,passed,passed,passed,passed,passed,all_passed,0
abc390_b,passed,passed,passed,passed,passed,passed,all_passed,0
abc390_c,passed,passed,passed,passed,passed,passed,all_passed,0
abc391_a,passed,passed,passed,passed,passed,passed,all_passed,0
abc391_b,passed,passed,passed,passed,passed,passed,all_passed,0
abc392_a,passed,passed,passed,passed,passed,passed,all_passed,0
abc393_a,passed,passed,passed,passed,passed,passed,all_passed,0
abc393_b,passed,passed,passed,passed,passed,passed,all_passed,0
abc394_a,passed,passed,passed,passed,passed,passed,all_passed,0
abc394_b,passed,passed,passed,passed,passed,passed,all_passed,0
abc394_c,passed,passed,passed,passed,passed,passed,all_passed,0
abc394_d,passed,passed,passed,passed,passed,passed,all_passed,0
abc395_a,passed,passed,passed,passed,passed,passed,all_passed,0
abc396_a,passed,passed,passed,passed,passed,passed,all_passed,0
abc397_a,passed,passed,passed,passed,passed,passed,all_passed,0
abc397_c,passed,passed,passed,passed,passed,passed,all_passed,0
abc398_b,passed,passed,passed,passed,passed,passed,all_passed,0
abc398_c,passed,passed,passed,passed,passed,passed,all_passed,0
abc399_a,passed,passed,passed,passed,passed,passed,all_passed,0
abc400_a,passed,passed,passed,passed,passed,passed,all_passed,0
arc195_a,passed,passed,passed,passed,passed,passed,all_passed,0
