task_id,sonnet-4,deepseek-v3,llama-3-3,mistral-3-2,gpt-4o,qwen3-coder,category,num_failed
BigCodeBench/511,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/513,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/526,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/528,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/553,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/560,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/567,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/579,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/582,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/583,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/592,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/593,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/594,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/618,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/636,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/654,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/655,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/657,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/720,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/723,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/771,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/785,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/800,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/82,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/857,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/89,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/914,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/915,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/916,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/917,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/93,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/942,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/945,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/955,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/964,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/985,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/988,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/273,failed,failed,failed,failed,failed,failed,all_failed,6
BigCodeBench/100,failed,failed,passed,failed,failed,failed,mixed_failed,5
BigCodeBench/1004,passed,failed,failed,failed,failed,failed,mixed_failed,5
BigCodeBench/1008,failed,failed,passed,failed,failed,failed,mixed_failed,5
BigCodeBench/1022,failed,failed,failed,failed,failed,passed,mixed_failed,5
BigCodeBench/108,failed,failed,passed,failed,failed,failed,mixed_failed,5
BigCodeBench/147,failed,failed,passed,failed,failed,failed,mixed_failed,5
BigCodeBench/287,failed,failed,failed,failed,failed,passed,mixed_failed,5
BigCodeBench/590,failed,failed,passed,failed,failed,failed,mixed_failed,5
BigCodeBench/760,passed,failed,failed,failed,failed,failed,mixed_failed,5
BigCodeBench/763,failed,failed,failed,passed,failed,failed,mixed_failed,5
BigCodeBench/765,failed,passed,failed,failed,failed,failed,mixed_failed,5
BigCodeBench/952,failed,failed,failed,failed,failed,passed,mixed_failed,5
BigCodeBench/963,failed,failed,passed,failed,failed,failed,mixed_failed,5
BigCodeBench/998,failed,failed,passed,failed,failed,failed,mixed_failed,5
BigCodeBench/13,failed,failed,passed,failed,failed,failed,mixed_failed,5
BigCodeBench/1040,failed,passed,passed,failed,failed,failed,mixed_failed,4
BigCodeBench/1053,failed,failed,failed,passed,passed,failed,mixed_failed,4
BigCodeBench/129,failed,failed,passed,passed,failed,failed,mixed_failed,4
BigCodeBench/15,failed,passed,failed,failed,failed,passed,mixed_failed,4
BigCodeBench/239,passed,failed,failed,failed,failed,passed,mixed_failed,4
BigCodeBench/368,failed,failed,passed,passed,failed,failed,mixed_failed,4
BigCodeBench/417,failed,failed,passed,failed,passed,failed,mixed_failed,4
BigCodeBench/502,passed,failed,failed,failed,passed,failed,mixed_failed,4
BigCodeBench/574,passed,failed,failed,failed,failed,passed,mixed_failed,4
BigCodeBench/637,failed,failed,failed,passed,failed,passed,mixed_failed,4
BigCodeBench/865,failed,passed,failed,failed,passed,failed,mixed_failed,4
BigCodeBench/1006,passed,failed,passed,failed,passed,failed,mixed_failed,3
BigCodeBench/1020,passed,failed,passed,failed,failed,passed,mixed_failed,3
BigCodeBench/1124,failed,passed,passed,passed,failed,failed,mixed_failed,3
BigCodeBench/187,failed,failed,passed,passed,passed,failed,mixed_failed,3
BigCodeBench/302,failed,passed,passed,failed,failed,passed,mixed_failed,3
BigCodeBench/308,failed,passed,failed,failed,passed,passed,mixed_failed,3
BigCodeBench/454,passed,failed,passed,failed,failed,passed,mixed_failed,3
BigCodeBench/461,passed,failed,passed,failed,failed,passed,mixed_failed,3
BigCodeBench/532,passed,failed,failed,failed,passed,passed,mixed_failed,3
BigCodeBench/752,passed,passed,failed,failed,failed,passed,mixed_failed,3
BigCodeBench/777,failed,passed,passed,failed,passed,failed,mixed_failed,3
BigCodeBench/826,failed,passed,failed,passed,passed,failed,mixed_failed,3
BigCodeBench/1013,failed,passed,failed,passed,passed,passed,mixed_failed,2
BigCodeBench/1085,passed,passed,passed,failed,failed,passed,mixed_failed,2
BigCodeBench/123,failed,passed,passed,failed,passed,passed,mixed_failed,2
BigCodeBench/161,passed,passed,passed,failed,passed,failed,mixed_failed,2
BigCodeBench/310,failed,failed,passed,passed,passed,passed,mixed_failed,2
BigCodeBench/477,passed,passed,failed,failed,passed,passed,mixed_failed,2
BigCodeBench/845,failed,passed,passed,passed,passed,failed,mixed_failed,2
BigCodeBench/870,passed,passed,failed,failed,passed,passed,mixed_failed,2
BigCodeBench/92,passed,failed,failed,passed,passed,passed,mixed_failed,2
BigCodeBench/1003,passed,passed,failed,passed,passed,passed,mixed_failed,1
BigCodeBench/162,passed,passed,passed,passed,failed,passed,mixed_failed,1
BigCodeBench/199,passed,passed,passed,passed,failed,passed,mixed_failed,1
BigCodeBench/445,passed,passed,failed,passed,passed,passed,mixed_failed,1
BigCodeBench/678,passed,passed,failed,passed,passed,passed,mixed_failed,1
BigCodeBench/879,failed,passed,passed,passed,passed,passed,mixed_failed,1
BigCodeBench/897,passed,failed,passed,passed,passed,passed,mixed_failed,1
BigCodeBench/906,passed,passed,passed,failed,passed,passed,mixed_failed,1
BigCodeBench/971,passed,passed,passed,failed,passed,passed,mixed_failed,1
BigCodeBench/990,passed,passed,passed,failed,passed,passed,mixed_failed,1
BigCodeBench/999,failed,passed,passed,passed,passed,passed,mixed_failed,1
BigCodeBench/139,passed,passed,passed,passed,passed,passed,all_passed,0
BigCodeBench/184,passed,passed,passed,passed,passed,passed,all_passed,0
BigCodeBench/19,passed,passed,passed,passed,passed,passed,all_passed,0
BigCodeBench/34,passed,passed,passed,passed,passed,passed,all_passed,0
BigCodeBench/367,passed,passed,passed,passed,passed,passed,all_passed,0
BigCodeBench/37,passed,passed,passed,passed,passed,passed,all_passed,0
BigCodeBench/401,passed,passed,passed,passed,passed,passed,all_passed,0
BigCodeBench/418,passed,passed,passed,passed,passed,passed,all_passed,0
BigCodeBench/530,passed,passed,passed,passed,passed,passed,all_passed,0
BigCodeBench/587,passed,passed,passed,passed,passed,passed,all_passed,0
BigCodeBench/854,passed,passed,passed,passed,passed,passed,all_passed,0
BigCodeBench/928,passed,passed,passed,passed,passed,passed,all_passed,0
BigCodeBench/969,passed,passed,passed,passed,passed,passed,all_passed,0
BigCodeBench/99,passed,passed,passed,passed,passed,passed,all_passed,0
