task_id,sonnet-4,deepseek-v3,gpt-4o,llama-3-3,mistral-3-2,qwen3-coder,category,num_failed
MBPP/626,passed,passed,passed,passed,failed,passed,mixed_failed,1
MBPP/629,passed,passed,passed,passed,failed,passed,mixed_failed,1
MBPP/63,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/632,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/639,passed,passed,passed,passed,failed,passed,mixed_failed,1
MBPP/67,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/735,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/754,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/760,passed,passed,passed,passed,failed,passed,mixed_failed,1
MBPP/765,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/767,passed,passed,passed,failed,passed,passed,mixed_failed,1
MBPP/77,passed,passed,passed,passed,failed,passed,mixed_failed,1
MBPP/772,passed,passed,failed,passed,passed,passed,mixed_failed,1
MBPP/781,failed,passed,passed,passed,passed,passed,mixed_failed,1
MBPP/100,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/101,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/102,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/104,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/106,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/108,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/109,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/111,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/113,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/116,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/118,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/12,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/120,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/125,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/127,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/128,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/129,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/130,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/131,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/133,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/135,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/137,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/138,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/139,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/14,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/140,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/141,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/142,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/160,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/161,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/162,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/165,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/166,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/167,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/168,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/17,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/171,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/172,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/18,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/19,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/2,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/222,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/223,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/224,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/226,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/227,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/230,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/232,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/233,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/234,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/235,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/237,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/238,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/239,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/240,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/242,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/245,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/247,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/250,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/251,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/252,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/253,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/256,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/257,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/261,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/262,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/264,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/265,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/266,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/267,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/269,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/271,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/272,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/274,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/277,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/278,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/279,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/280,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/281,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/282,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/283,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/284,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/285,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/286,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/287,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/290,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/292,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/293,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/294,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/296,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/297,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/299,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/3,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/305,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/308,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/309,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/310,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/311,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/312,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/388,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/389,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/390,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/394,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/395,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/397,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/4,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/404,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/405,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/406,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/410,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/412,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/413,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/414,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/415,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/418,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/419,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/420,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/421,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/422,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/424,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/425,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/426,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/427,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/428,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/429,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/433,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/435,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/436,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/437,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/439,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/441,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/445,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/446,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/447,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/448,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/450,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/451,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/453,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/454,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/456,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/457,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/458,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/459,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/460,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/462,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/463,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/465,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/468,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/470,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/471,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/472,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/474,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/475,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/476,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/477,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/478,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/479,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/555,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/556,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/557,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/558,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/56,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/560,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/562,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/563,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/564,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/565,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/566,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/567,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/568,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/569,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/572,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/573,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/576,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/577,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/578,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/58,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/581,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/583,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/585,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/586,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/587,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/588,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/589,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/59,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/590,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/591,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/592,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/593,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/594,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/596,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/598,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/599,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/6,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/600,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/602,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/604,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/605,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/606,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/607,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/608,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/61,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/610,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/611,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/612,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/618,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/619,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/62,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/623,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/624,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/628,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/631,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/633,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/635,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/637,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/638,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/64,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/641,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/643,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/644,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/65,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/66,passed,passed,passed,passed,passed,,mixed_failed,0
MBPP/68,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/69,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/7,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/70,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/71,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/72,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/720,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/721,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/722,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/723,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/724,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/725,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/726,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/728,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/730,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/731,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/732,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/733,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/734,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/736,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/737,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/739,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/74,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/740,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/741,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/742,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/744,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/745,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/748,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/749,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/75,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/750,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/751,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/752,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/753,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/757,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/758,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/759,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/762,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/763,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/764,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/766,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/769,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/770,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/771,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/773,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/775,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/777,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/778,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/780,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/782,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/784,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/785,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/786,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/787,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/788,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/79,passed,passed,passed,passed,passed,,mixed_failed,0
MBPP/790,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/791,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/792,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/793,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/794,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/796,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/797,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/798,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/799,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/8,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/80,passed,passed,passed,passed,passed,,mixed_failed,0
MBPP/800,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/801,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/803,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/804,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/805,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/806,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/807,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/808,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/809,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/82,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/84,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/85,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/86,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/87,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/88,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/89,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/9,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/90,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/91,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/92,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/93,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/94,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/95,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/96,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/97,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/98,passed,passed,passed,passed,passed,passed,all_passed,0
MBPP/99,passed,passed,passed,passed,passed,passed,all_passed,0
