task_id,failure_analysis,category
BigCodeBench/120,"The task is to generate a pandas Series of random dates within a given date range, ensuring reproducibility with a seed and proper input validation. All six models—deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, and sonnet-4—behaved similarly and failed for the same basic reason: they interpreted “inclusive range” as meaning the series should contain an inclusive number of days, while the tests expect a shorter series length (based on the gap between the dates) but still allow both endpoints as possible values. This off-by-one view cascaded into two visible breakages: the length check (e.g., 10 vs 9 days for a short range) and the exact reproducibility list, where each model produced one extra date compared with the expected sequence. The prompt and doc text contribute to the confusion: phrases like “including both start_date and end_date” and “length matches the number of days in the specified range” are ambiguous and nudge models toward the inclusive count, whereas the tests and canonical solution quietly require a different notion of length. Some responses also oddly duplicated the function (a stub followed by a full version), which is unusual but not the cause of failure. In short, a subtle spec–test mismatch about “inclusivity” led every model to the same mistaken approach and identical test failures.",Wrong Problem Mapping
BigCodeBench/124,"The task is to validate a list, append a value, generate random numbers based on its sum, and plot their histogram while returning the runtime and plot object. All six models broadly followed the task but failed the tests for the same core reason: they inferred from the prompt’s “number range (1–100) on the x-axis” that the histogram should span one bin per integer, while the hidden expectation in the tests (and canonical) was a 20-bin histogram, making the seeded bar heights not match; this ambiguity between the prose and the tests is the main source of failure. DeepSeek-V3, GPT-4o, Llama-3.3, Mistral-3.2, Qwen3-Coder, and Sonnet-4 all stumbled on this, producing many more bars than expected and thus mismatched frequencies. Several also tweaked the title text—Mistral-3.2 (“…(1–100)”), Qwen3-Coder and Sonnet-4 (“Distribution of Random Numbers”)—which violated an exact-string check. Mistral-3.2 additionally timed the wrong portion of the process (not penalized by tests), and some responses contained duplicate function stubs or stray lines (e.g., Llama-3.3), hinting at generation hygiene issues. Overall, the failures reflect a reasonable but incorrect reading of the prompt, compounded by strict, implicit test assumptions (20 bins, exact title) that weren’t explicitly stated.","Wrong Problem Mapping, Formatting Mistakes"
BigCodeBench/17,"The task is to check if a process with a given name is running, and either start it if not found or restart it if it is already running. All models struggled on this task because they failed to align with how the tests were written and what they were checking. A central issue was that the tests simulated processes in a way that only worked if the solution used one specific method of checking the process name, but most models (such as Deepseek-v3, GPT-4o, Llama-3-3, Mistral-3-2, Qwen3-coder, and Sonnet-4) relied on a different approach, so they consistently misdetected running processes and returned the wrong message. Several models also added extra arguments when starting processes (for example, using lists or enabling shell mode), which caused them to fail because the tests required an exact match. In some cases, like Llama-3-3 and Deepseek-v3, the models only stopped the first matching process instead of handling all instances, which the tests explicitly checked for. Overall, the failures were less about misunderstanding the task description and more about mismatches between the models’ coding habits and the strict expectations of the test setup.","Flawed/Incomplete Algorithm, Formatting Mistakes"
BigCodeBench/177,"The task is to filter articles by keywords in their titles and then count word frequencies from their content while excluding punctuation. All six models—deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, and sonnet-4—fail for the same two high-level reasons: they normalize the article content to lowercase before counting words (merging “Data” with “data”, “What” with “what”), and they raise an error when the DataFrame is empty. Both choices clash with what the tests and the reference expect: counts must preserve original casing, and an empty but well-formed DataFrame should simply yield an empty result. The lowercasing is a reasonable “text-cleaning” instinct but contradicts the task’s evaluation; the empty-DataFrame error stems from a prompt/test mismatch—the prompt says to raise on emptiness, while the tests (and canonical solution) do not. A few stylistic quirks (e.g., deepseek-v3’s duplicate function, qwen3-coder/sonnet-4’s stricter title patterns) don’t drive the failures. In short, the models generally read the instruction like a generic NLP cleanup task, but the hidden grading criteria hinge on preserving case and treating an empty dataset as a valid no-op, and the prompt itself contributes to confusion by being inconsistent with the tests.",Wrong Problem Mapping
BigCodeBench/208,"The task is to generate a random walk of given length, plot it, and return its descriptive statistics. In this task, all models struggled with small but important mismatches against the strict test expectations, showing how sensitive the setup is. Deepseek-v3, GPT-4o, and Mistral-3-2 produced correct-looking results but calculated statistics slightly differently, leading to incorrect standard deviations and, in Deepseek and Mistral’s case, also adding extra words to the plot title. Llama-3-3 relied on default statistical summaries and missed required percentiles, while Qwen3-coder and Sonnet-4 both inserted an extra starting point in the random walk, making their plots and counts too long and causing repeated failures. Some models also used different naming for percentiles or altered titles, which the strict tests did not allow. Overall, the prompt itself was clear, but the tests required exact formatting and values, so even minor deviations in naming, counting, or statistical conventions caused failures across all models.","Flawed/Incomplete Algorithm, Formatting Mistakes"
BigCodeBench/211,"The task is to download a ZIP file from a given URL, save it, extract its contents into a target folder, and return the list of extracted files. All models failed for largely the same reason: they tried to be “helpful” by creating the destination folder, which—given the tests’ absolute path (/path/to/destination) and lack of mocking for directory creation—triggered permission errors before anything else could be validated. Beyond that shared pitfall, several models (e.g., deepseek-v3, gpt-4o, mistral-3-2, qwen3-coder, sonnet-4) ignored the required default request header and/or hard-coded a download filename, clashing with tests that strictly expect a specific header and a name derived from the URL; some (gpt-4o, llama-3-3, mistral-3-2) even removed the ZIP, contradicting the prompt’s “keep” instruction, while deepseek-v3 extracted from memory and never saved the file. The task and tests contain subtle traps: they mock most I/O but not directory creation, enforce exact call signatures, and implicitly require keeping the archive—small mismatches that, cumulatively, caused every approach to fail.","Flawed/Incomplete Algorithm, Formatting Mistakes"
BigCodeBench/214,"The task is to generate a random RGB image with given parameters and return both the image and its plot. All six models—deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, and sonnet-4—generated valid-looking images with the right shapes, types, and error checks, yet they all failed because their random images didn’t match the test’s hard-coded expected pixels. The shared behavior that led to this was choosing a “sensible” vectorized NumPy approach to draw random values, while the hidden expectation (revealed by the tests and reference) was a very specific sequence tied to Python’s standard random generator; thus, even with the same seed, the numbers differ and the equality check explodes. Several models also emitted duplicate function definitions (first a stub with pass, then the “real” one), which is odd but not the root cause. Plotting choices (e.g., using or skipping cv2.cvtColor, calling plt.show()) didn’t matter. The deeper issue is with the test design and prompt: the prompt never states the exact randomness method required, but the tests demand an exact byte-for-byte image, making the task brittle and punishing reasonable alternative implementations like those from gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, sonnet-4, and deepseek-v3.",Wrong Problem Mapping
BigCodeBench/227,"The task is to create a matrix from a list, normalize it using the sound pressure level of an audio file, and generate a spectrogram from it. All models failed primarily because they checked for the audio file’s existence in a way the tests didn’t mock—tests patch os.path.isfile, while the submissions (deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, sonnet-4) mostly used a different existence check, so they incorrectly raised FileNotFoundError and never reached the core logic. Beyond that shared trigger, several approaches would still have stumbled: gpt-4o and mistral-3-2 normalized the matrix in ways that don’t match the SPL-based scaling the tests implicitly expect; qwen3-coder padded/truncated input instead of letting reshape fail (the tests expect an error for empty input); llama-3-3 and sonnet-4 drew spectrograms without calling librosa.display.specshow, which the tests explicitly check; and some responses included extra, duplicate, or demo code. The prompt itself is clear, but the test harness has strict, somewhat hidden contracts (use isfile, call specshow, let reshape raise) that the models violated, so the mismatch between test design and model choices is the real reason everything toppled.",Wrong Problem Mapping
BigCodeBench/241,"The task is to take a list of labeled numeric data, normalize the numeric values, and plot the original and normalized results together. All six models—deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, and sonnet-4—failed for the same core reasons: they treated the input as a plain list of numbers instead of a list of (label, value) tuples, which made them try to process strings like “a” and crash; they chose MinMax scaling rather than the L2 normalization the tests expect; and none handled the empty-input case, which triggered errors. A couple of presentation mismatches would have also tripped tests later (mistral-3-2 and sonnet-4 used label text that doesn’t match what the tests look for). Some responses showed sloppy generation (duplicate function stubs; llama-3-3 even appended stray example code), suggesting the models weren’t tightly following constraints. The prompt likely contributed to the confusion: it says “normalize” without specifying which kind, and it pre-imports scikit-learn, nudging models toward MinMaxScaler; meanwhile, the tests quietly enforce L2 normalization and require unzipping the tuples, so the instructions and validation signals weren’t perfectly aligned.",Wrong Problem Mapping
BigCodeBench/267,"The task was to modify a dictionary, generate a signal from its values, perform a Fast Fourier Transform (FFT), and plot the result with specific labels. All models (Deepseek-V3, GPT-4o, Llama-3-3, Mistral-3-2, Qwen3-Coder, and Sonnet-4) failed on this task for essentially the same reason: they followed the prompt’s instruction literally and titled the plot “FFT of the signal,” while the test cases expected “FFT of the Signal” with a capital “S.” This small mismatch in capitalization was enough to trigger failures in every case, showing how sensitive the evaluation is to exact string matches. In fact, most models also used slightly different axis labels than required, which would have caused further errors if the title check had not already failed first. The signal generation approaches varied widely—some models (like Llama-3-3 and Sonnet-4) tried to create more elaborate waveforms, while others (like GPT-4o and Deepseek-V3) just transformed the raw dictionary values—but because the tests only cared about the labels and return types, these differences did not matter. The main issue was not the models’ reasoning about signals but the inconsistency between the prompt (lowercase “signal”) and the test oracle (uppercase “Signal”), which misled all models into producing outputs that could never pass.",Formatting Mistakes
BigCodeBench/273,"The task is to create an HTTP POST request handler that validates incoming JSON data and returns success or specific error messages based on the request. Across models, failures stemmed from not following the task’s narrow contract and the tests’ expectations. Several (gpt-4o, llama-3-3, mistral-3-2) tried to be “helpful” by spinning up a real server instead of returning a handler class, so they didn’t match what the tests call for. Others (deepseek-v3, qwen3-coder, sonnet-4) chose a custom error-response style rather than the specific error mechanism the tests watch for, which also triggered mock-related crashes. A smaller but consistent mismatch was header handling: tests provide lowercase header names, while some models (gpt-4o, llama-3-3, mistral-3-2, sonnet-4) assumed standard capitalized forms, causing good requests to be treated as bad. None of these issues are about core logic; they’re mostly interface discipline and test-harness alignment. The prompt is clear but slightly brittle: it emphasizes exact error messages and implies lowercase header keys, and the test harness punishes deviations (e.g., logging attributes missing in mocks). In short, models failed by over-building or defaulting to typical patterns instead of adhering to the test’s strict, idiosyncratic protocol.","Wrong Problem Mapping, Formatting Mistakes"
BigCodeBench/274,"The task is to build an HTTP POST request handler that reads email data from JSON and sends it through an SMTP server while returning proper status codes for errors. Across models, most failures stemmed from mismatches with the test harness’s narrow expectations rather than from email logic itself. deepseek-v3, qwen3-coder, and sonnet-4 chose an email-sending approach the tests didn’t look for, so success and auth-failure checks didn’t trigger as intended. gpt-4o and mistral-3-2 tried to be “helpful” by adding headers and richer error output, which collided with a minimal harness that only expects simple status responses and lacks full server state, causing crashes. llama-3-3 simply returned nothing usable, so all tests failed at setup. Several models (qwen3-coder, sonnet-4) also reported errors via a different API than the tests assert on, creating systematic misses. A subtle prompt-test misalignment contributed: the prompt hints at content type and length and names exception types, which some models interpreted as reasons to add headers or re-raise errors, while the tests reward a minimal, quiet response style.",Formatting Mistakes
BigCodeBench/313,"The task is to organize files by reading their contents and moving each file into a subdirectory named after the first piece of text that appears before a square bracket. Across models, the central failure was a consistent misreading of the task: most (gpt-4o, sonnet-4, qwen3-coder, mistral-3-2, llama-3-3, deepseek-v3) extracted categories from the filenames rather than from the file contents, so they never produced keys like “example”/“sample” that the tests expect from the content prefix before the first “[”. This led to wrong groupings (e.g., grouping by “test_file1”), moving files that should stay put (empty files or content starting with a bracket), and even crashes—deepseek-v3 hit path collisions (trying to move into a file path treated as a folder) and llama-3-3 raised NoneType errors from fragile matching. The prompt’s wording (“first text that is not enclosed in square brackets”) is slightly ambiguous about whether to parse filenames or contents, but the provided tests and canonical solution clearly anchor the rule in file content; models that ignored this context systematically failed. A few also showed generative artifacts (duplicate function stubs), which didn’t help clarity but weren’t the primary cause.",Wrong Problem Mapping
BigCodeBench/324,"The task is to start a list of files as subprocesses at the same time and return their exit codes. All models failed for the same broad reason: they didn’t align their behavior with what the tests implicitly require—start processes concurrently and report the current status via a non-blocking check that can be None if still running. deepseek-v3, gpt-4o, and qwen3-coder treated the task as “run scripts to completion,” so they blocked and returned generic error codes instead of the expected mixture of codes and None. llama-3-3, mistral-3-2, and sonnet-4 did start subprocesses but then waited for completion and read values the tests weren’t controlling, leading to mocked placeholders instead of real codes. Several responses also hard-wired how to launch files (e.g., assuming Python) or duplicated function stubs—signs of drifting from the minimal contract. The prompt is brief and the tests encode the true spec (concurrent start + status polling), but that spec isn’t spelled out explicitly; this mismatch nudged models toward “finish then report” logic, which can never produce the “still running” outcome the tests expect.","Flawed/Incomplete Algorithm, Wrong Problem Mapping"
BigCodeBench/326,"The task is to find all .bat files in a directory, run them, and return their names with the exit codes. All models failed for broadly the same reason: they added “helpful” behaviors that conflicted with the test setup’s expectations. deepseek-v3 and gpt-4o rejected the input outright by insisting the directory be real, so every test crashed; llama-3-3, mistral-3-2, qwen3-coder, and sonnet-4 also gated on directory checks and simply returned nothing, ignoring the mocked files the tests supply. Several models (notably gpt-4o, mistral-3-2, qwen3-coder, sonnet-4) chose alternative ways to run commands that the tests don’t simulate, so the results couldn’t be controlled by the harness. sonnet-4 further assumed non-Windows systems shouldn’t run batch files, which clashes with the OS-agnostic, fully mocked tests. The prompt itself is slightly ambiguous (it doesn’t forbid path validation or platform checks), but the tests implicitly require proceeding regardless of real filesystem/OS, so “defensive” additions and platform heuristics—while reasonable in the wild—became the main source of failure here.",Flawed/Incomplete Algorithm
BigCodeBench/341,"The task is to create a function that takes a DataFrame column and produces a figure with two plots showing the distribution of its values. All models failed for the same underlying reason: they did not handle the categorical case in the way the tests expected. The prompt itself was slightly misleading, since it asked for a “box plot” as the second subplot regardless of data type, while the hidden tests actually required a scatter-style plot for categorical data. Models like GPT-4o, LLaMA-3-3, Mistral-3-2, and Sonnet-4 followed the instruction literally and always used a box plot, which caused the categorical test to fail. DeepSeek-V3 tried to avoid plotting for categorical values and instead left the subplot empty, which also failed. Qwen3-Coder attempted to adapt but produced another bar plot for the second subplot, which again did not match the test’s expectations. In short, the failures were not due to models ignoring the task, but rather due to a mismatch between the prompt’s wording and the grader’s hidden requirement, leading every model to produce results that looked reasonable but still failed the categorical check.",Formatting Mistakes
BigCodeBench/346,"The task is to run a Python script as a subprocess with given arguments, returning its exit code or raising an error if the script itself raises an exception. All models struggled on this task mainly because the prompt’s requirement to raise an error only when the script raises an exception is unusual and conflicts with the more common practice of treating any non-zero exit code as a failure. Deepseek-v3, GPT-4o, Llama-3-3, Mistral-3-2, and Sonnet-4 all fell into this trap, raising errors when a script exited with code 1, even though the tests expected the return code to be passed back normally. Qwen3-coder made the opposite mistake, never raising an error at all, so it failed when a script truly raised an exception. Mistral-3-2 also introduced an extra bug by misusing the error type, which caused additional crashes. These failures show a shared misunderstanding of the task’s subtle distinction between a Python exception in the child process and an ordinary non-zero exit, a distinction that the test cases make clear but the prompt itself leaves somewhat ambiguous.",Wrong Problem Mapping
BigCodeBench/360,"The task is to read data from an Excel sheet, calculate each column’s mean and standard deviation, and return both the results and a bar chart visualization. All models failed for broadly similar reasons: they made reasonable but test-incompatible choices under an underspecified prompt, then hit strict checks. The biggest trap was the standard deviation: the tests silently expect population values (10.0) while the prompt never clarifies this, so llama-3-3, mistral-3-2, qwen3-coder, and sonnet-4 computed the more common sample values (~14.14) and were marked wrong. Several also returned the right numbers in the wrong shape or with the wrong key names—gpt-4o used std_dev instead of std, and deepseek-v3 reorganized the dictionary under top-level ""mean""/""std""—which failed exact-equality assertions. Visually, many (e.g., gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, sonnet-4) plotted means and standard deviations as two separate bars per column, but the tests assume only mean bars (with std as error bars), causing figure checks to fail. Deepseek-v3 also showed duplicate function stubs, an oddity but not the core issue. Overall, the failures stem from a mix of minor schema mismatches and an ambiguous prompt (population vs sample std, bar chart semantics) colliding with rigid test expectations the models couldn’t see.","Flawed/Incomplete Algorithm, Formatting Mistakes"
BigCodeBench/374,"The task is to process all Excel files in a directory and protect double quotes inside cells by adding backslashes, then return how many files were handled. In this task most models showed consistent misunderstandings of the requirements, leading to similar types of failures. A common issue was confusing “processed files” with “modified files”: for example, deepseek-v3 and gpt-4o only counted files where changes were made, so they returned too small a number. Several models, including qwen3-coder, sonnet-4, llama-3-3, and deepseek-v3, did not raise the required error when the directory was missing, while mistral-3-2 even tried to create the directory instead, which broke the tests. Quote escaping also caused trouble: sonnet-4 over-escaped and added too many backslashes, while others like llama-3-3 failed by misusing the spreadsheet library and crashing. These failures show that the prompt’s wording around “double backslashes” was easy to misinterpret, and the test cases exposed subtle differences between “files found” versus “files changed,” as well as the precise error-handling expected. Overall, the errors arose less from missing logic and more from small but crucial mismatches in how the instructions were interpreted.","Flawed/Incomplete Algorithm, Edge Case Mishandling"
BigCodeBench/399,"The task is to create a function that plots sine and cosine waves for a given frequency and sample size, returning the plot objects while handling invalid inputs. All models in this task (deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, and sonnet-4) produced generally correct solutions that validated inputs, plotted sine and cosine waves, and returned the expected objects, but they all failed the tests for the same reason: the plotted lines were not labeled exactly as 'sin' and 'cos'. Instead, models tended to use more descriptive or human-friendly labels such as “Sine Wave” or “Cosine Wave (f=...)”. This points to a mismatch between the hidden evaluation criteria and the instructions in the prompt, which never stated the need for strict label names. Several models also showed duplicated function definitions (first a placeholder, then the full version), but this did not affect the outcome. Overall, the failures were not due to misunderstanding the mathematical or plotting requirements, but rather to an unstated and brittle test expectation that the models could not have inferred from the prompt alone.",Formatting Mistakes
BigCodeBench/409,"The task is to read an Excel file, extract a specific column, and return its mean, median, and standard deviation in a dictionary. Across the board, the models failed mainly because of mismatches between their outputs and the strict expectations of the tests. Most models (deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, and sonnet-4) returned the results using dictionary keys like “std” or “standard_deviation” instead of the required “std_dev”, which caused immediate errors. Several of them (deepseek-v3, gpt-4o, mistral-3-2, qwen3-coder, sonnet-4) also used a different definition of standard deviation than the one expected, so even if the key names were correct their numeric answers would not match. Sonnet-4 showed an additional failure: it raised the wrong type of error for mixed data, which prevented the test cleanup from running and left behind files that triggered further errors. These mistakes reveal a pattern of models following natural wording or common defaults rather than the exact format shown in the example, and they also highlight a weakness in the prompt itself, which was not explicit about key naming or which version of standard deviation to use, while the hidden tests enforced those details rigidly.",Formatting Mistakes
BigCodeBench/424,"The task is to read an image, segment it into color-based regions using K-means clustering, save each region as a separate image, and return both the original and segmented images. All models tripped over a spec–test mismatch and, for some, a missed edge case. The prompt/docs say the image “assumes RGB,” but the tests and canonical solution implicitly expect OpenCV’s raw output (BGR) and compare exact values, so any color-space change makes the arrays fail strict equality; this explains the normal-case failures for deepseek-v3, gpt-4o, llama-3-3, mistral-3-2, qwen3-coder, and sonnet-4. A second issue is the single-cluster rule: the tests require returning the original image unchanged when n_clusters=1; gpt-4o, llama-3-3, and sonnet-4 didn’t special-case this and therefore also failed that scenario, while deepseek-v3, mistral-3-2, and qwen3-coder handled it. File-saving differences didn’t matter (the tests don’t check them). In short, the chief cause is a confusing prompt (“RGB”) versus tests that demand untouched OpenCV data, compounded by some models not honoring the single-cluster “return original” behavior.",Formatting Mistakes
